------Table Size ( 2000000 ) ------
Eps      d       w       MeanS   MedianS
2        25      80000   117.02502005924         82.1319546186079
2        25      80000   117.031051676946        82.2317301701019
2        25      80000   117.042027638925        82.3436889250524
2        32      62500   167.716367364187        147.415159078405
2        32      62500   167.712104809843        147.139849552975
2        32      62500   167.718577020945        147.422574308448
2        32      62500   167.7253654876  147.700155245473
2        32      62500   167.724631170994        147.952449484871
2        32      62500   167.727203952488        148.190720209213
2        40      50000   234.483583726684        246.831637328148
2        40      50000   234.484359943904        246.766414643631
2        40      50000   234.467856758509        246.809597484198
2        40      50000   234.469191783279        246.902248327139
2        40      50000   234.479554012287        246.970864245771
2        40      50000   234.493245675196        247.046119164741
2        50      40000   290.088705518743        279.557322648084
2        50      40000   290.102897920757        279.473852409226
2        50      40000   290.096795952215        279.624671461753
2        50      40000   290.09026817166         279.774502475927
2        50      40000   290.107676709104        279.946727931509
2        50      40000   290.099754645165        280.078279766355
2        64      31250   374.790630871182        357.044421516548
2        64      31250   374.799848915613        356.3441885544
2        64      31250   374.832861301046        357.064271932692
2        64      31250   374.857198795948        357.775538095859
2        64      31250   374.857502220254        358.402919390295
2        64      31250   374.880281021507        359.02450106403
2        80      25000   509.279202146215        523.31833168039
2        80      25000   509.275256259333        523.161503702302
2        80      25000   509.246261249137        523.307123620734
2        80      25000   509.26346361518         523.485442476688
2        80      25000   509.321117603374        523.717777791003
2        80      25000   509.302287808533        523.797897737178
2        100     20000   625.658395988114        639.365123797955
2        100     20000   625.643176730317        639.478689920513
2        100     20000   625.663033881995        639.367946129339
2        100     20000   625.695752785843        639.250079402763
2        100     20000   625.743180172483        639.084618320624
2        100     20000   625.735101623217        638.901086040833
2        125     16000   634.097090225138        642.701492451426
2        125     16000   634.096925299522        642.457550811754
2        125     16000   634.120847380222        642.733236561434
2        125     16000   634.100880420632        642.856424936699
2        125     16000   634.075474704127        642.82655573517
2        125     16000   634.077829274655        642.839470344502
2        128     15625   93.8126997246648        21.5800247938296
2        128     15625   93.7279176596414        20.86424631317
2        128     15625   93.8183791550396        21.6524311993119
2        128     15625   93.9031313116783        22.3282508653558
2        128     15625   93.9870142503388        22.9345158771571
2        128     15625   94.0755057225193        23.5504459984736
2        128     15625   93.8126997246648        21.5800247938296
2        128     15625   93.7279176596414        20.86424631317
2        128     15625   93.8183791550396        21.6524311993119
2        128     15625   93.9031313116783        22.3282508653558
2        128     15625   93.9870142503388        22.9345158771571
2        128     15625   94.0755057225193        23.5504459984736
2        160     12500   622.716655016443        636.49622024299
2        160     12500   622.715103207894        638.901313498468
2        160     12500   622.709359098925        636.48516960727
